# polaram simulate /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/witec.txt --output /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/result_witec_phenylalanine.txt --log /home/jonas/code/python/PolaRam/log/muellersimulation.log --matrix /home/jonas/Dokumente/uni/semester7/bachelorarbeit/scripts/auswertungSpektren/polaram/labratoryMatrixPhenylalanine.txt
# Execution time: 2021-01-02 15:17:33.300066

# State.Header   Initial.State.S0  Initial.State.S1  Initial.State.S2  Initial.State.S3     Final.State.S0  Final.State.S1  Final.State.S2  Final.State.S3
v_6_=_245.1754/cm   1.0048691   0.93881764 -0.27769096  0.               0.00711295  0.00089835 -0.0006086   0.        
v_7_=_289.3892/cm   1.0048691   0.93881764 -0.27769096  0.               0.04007993  0.00783615 -0.00458527  0.        
v_8_=_298.6721/cm   1.0048691   0.93881764 -0.27769096  0.               0.04213875  0.00975792 -0.00544987  0.        
v_9_=_317.1495/cm   1.0048691   0.93881764 -0.27769096  0.               0.03289928  0.00989145 -0.00519058  0.        
v_10_=_358.5207/cm   1.0048691   0.93881764 -0.27769096  0.               0.00102529  0.00017085 -0.0001049   0.        
v_11_=_416.0615/cm   1.0048691   0.93881764 -0.27769096  0.               4.19755896e-04  1.00121722e-04 -5.54884660e-05  0.00000000e+00
v_12_=_458.2468/cm   1.0048691   0.93881764 -0.27769096  0.               0.08561046  0.02717924 -0.01410205  0.        
v_13_=_519.3121/cm   1.0048691   0.93881764 -0.27769096  0.               0.01698339  0.00227854 -0.00151495  0.        
v_14_=_597.9584/cm   1.0048691   0.93881764 -0.27769096  0.               0.0303162   0.00471331 -0.00295692  0.        
v_15_=_627.0428/cm   1.0048691   0.93881764 -0.27769096  0.               0.03437135  0.00636625 -0.00378941  0.        
v_16_=_634.8215/cm   1.0048691   0.93881764 -0.27769096  0.               0.08144783  0.00692605 -0.00562612  0.        
v_17_=_644.0624/cm   1.0048691   0.93881764 -0.27769096  0.               0.04205382  0.01008808 -0.00559056  0.        
v_18_=_711.3407/cm   1.0048691   0.93881764 -0.27769096  0.               0.00193885  0.00056238 -0.00029707  0.        
v_19_=_755.2786/cm   1.0048691   0.93881764 -0.27769096  0.               0.16536686  0.06708896 -0.03324998  0.        
v_20_=_771.8421/cm   1.0048691   0.93881764 -0.27769096  0.               0.03542485  0.01385008 -0.00690915  0.        
v_21_=_804.1376/cm   1.0048691   0.93881764 -0.27769096  0.               0.08672388  0.02764913 -0.01433796  0.        
v_22_=_834.6371/cm   1.0048691   0.93881764 -0.27769096  0.               0.14472319  0.05203211 -0.02632715  0.        
v_23_=_859.3486/cm   1.0048691   0.93881764 -0.27769096  0.               0.01386345  0.00130198 -0.00100495  0.        
v_24_=_864.7519/cm   1.0048691   0.93881764 -0.27769096  0.               0.04925129  0.01802616 -0.00909875  0.        
v_25_=_926.4249/cm   1.0048691   0.93881764 -0.27769096  0.               0.06987364  0.00793591 -0.00563384  0.        
v_26_=_971.2632/cm   1.0048691   0.93881764 -0.27769096  0.               0.03568768  0.01010048 -0.00536701  0.        
v_27_=_979.7681/cm   1.0048691   0.93881764 -0.27769096  0.               0.00075818  0.0001902  -0.00010418  0.        
v_28_=_1001.1721/cm   1.0048691   0.93881764 -0.27769096  0.               0.00248565  0.00048407 -0.00028353  0.        
v_29_=_1016.2137/cm   1.0048691   0.93881764 -0.27769096  0.               0.8171284   0.32428134 -0.16127561  0.        
v_30_=_1033.0237/cm   1.0048691   0.93881764 -0.27769096  0.               0.54043923  0.12391438 -0.06934541  0.        
v_31_=_1054.6929/cm   1.0048691   0.93881764 -0.27769096  0.               0.42124037  0.17048946 -0.08450149  0.        
v_32_=_1106.2333/cm   1.0048691   0.93881764 -0.27769096  0.               0.07942927  0.01896235 -0.01050017  0.        
v_33_=_1110.4639/cm   1.0048691   0.93881764 -0.27769096  0.               0.03171457  0.00269068 -0.0021823   0.        
v_34_=_1159.3392/cm   1.0048691   0.93881764 -0.27769096  0.               0.03671732  0.0079053  -0.00449812  0.        
v_35_=_1177.8881/cm   1.0048691   0.93881764 -0.27769096  0.               0.0709072   0.01145202 -0.00712344  0.        
v_36_=_1190.6930/cm   1.0048691   0.93881764 -0.27769096  0.               0.09049846  0.00777273 -0.006282    0.        
v_37_=_1212.5763/cm   1.0048691   0.93881764 -0.27769096  0.               0.06949743  0.00656232 -0.00504333  0.        
v_38_=_1228.4588/cm   1.0048691   0.93881764 -0.27769096  0.               0.54512713  0.20549285 -0.10311495  0.        
v_39_=_1238.9638/cm   1.0048691   0.93881764 -0.27769096  0.               0.40051529  0.11271323 -0.05998135  0.        
v_40_=_1318.5650/cm   1.0048691   0.93881764 -0.27769096  0.               0.07262101  0.00764153 -0.00560724  0.        
v_41_=_1340.0531/cm   1.0048691   0.93881764 -0.27769096  0.               0.311604    0.07667447 -0.04214183  0.        
v_42_=_1359.2679/cm   1.0048691   0.93881764 -0.27769096  0.               0.03371857  0.00763122 -0.00428574  0.        
v_43_=_1368.3743/cm   1.0048691   0.93881764 -0.27769096  0.               0.0843328   0.00973613 -0.00687202  0.        
v_44_=_1382.1569/cm   1.0048691   0.93881764 -0.27769096  0.               0.35561392  0.05911577 -0.03641806  0.        
v_45_=_1460.9495/cm   1.0048691   0.93881764 -0.27769096  0.               0.05132851  0.00811951 -0.00508523  0.        
v_46_=_1494.5467/cm   1.0048691   0.93881764 -0.27769096  0.               0.03505335  0.00326533 -0.00253199  0.        
v_47_=_1505.4504/cm   1.0048691   0.93881764 -0.27769096  0.               0.17924646  0.02046691 -0.01449714  0.        
v_48_=_1539.3000/cm   1.0048691   0.93881764 -0.27769096  0.               0.01080693  0.00135544 -0.00092349  0.        
v_49_=_1634.6360/cm   1.0048691   0.93881764 -0.27769096  0.               0.20340023  0.01735924 -0.01407874  0.        
v_50_=_1656.0523/cm   1.0048691   0.93881764 -0.27769096  0.               1.03718855  0.13212435 -0.08952961  0.        
v_51_=_1680.7437/cm   1.0048691   0.93881764 -0.27769096  0.               0.05675867  0.00551081 -0.00417647  0.        
v_52_=_1815.5212/cm   1.0048691   0.93881764 -0.27769096  0.               0.13288888  0.03676374 -0.01967388  0.        
v_53_=_3040.0581/cm   1.0048691   0.93881764 -0.27769096  0.               2.5166352   0.91544302 -0.46250599  0.        
v_54_=_3083.8355/cm   1.0048691   0.93881764 -0.27769096  0.               1.61354     0.23825757 -0.15358017  0.        
v_55_=_3103.7065/cm   1.0048691   0.93881764 -0.27769096  0.               0.38622237  0.12996221 -0.06657083  0.        
v_56_=_3166.6573/cm   1.0048691   0.93881764 -0.27769096  0.               1.13314648  0.18361834 -0.11394376  0.        
v_57_=_3176.1083/cm   1.0048691   0.93881764 -0.27769096  0.               1.23183375  0.10461399 -0.08477806  0.        
v_58_=_3185.6408/cm   1.0048691   0.93881764 -0.27769096  0.               2.6016414   0.38244614 -0.24560614  0.        
v_59_=_3194.1441/cm   1.0048691   0.93881764 -0.27769096  0.               0.82314831  0.0699249  -0.05672917  0.        
v_60_=_3205.5084/cm   1.0048691   0.93881764 -0.27769096  0.               6.78366648  2.33444654 -1.19148522  0.        
v_61_=_3480.0034/cm   1.0048691   0.93881764 -0.27769096  0.               2.49756051  0.91424039 -0.46138018  0.        
v_62_=_3571.6208/cm   1.0048691   0.93881764 -0.27769096  0.               1.08797108  0.10857589 -0.08184612  0.        
v_63_=_3666.4515/cm   1.0048691   0.93881764 -0.27769096  0.               2.66804449  0.72646756 -0.38985026  0.        

# State.Header   Initial.State.S0  Initial.State.S1  Initial.State.S2  Initial.State.S3     Final.State.S0  Final.State.S1  Final.State.S2  Final.State.S3
v_1_=_33.9110/cm   1.01336926  0.58859156 -0.52415555  0.               0.06047429  0.00293278 -0.00541942  0.        
v_2_=_42.9975/cm   1.01336926  0.58859156 -0.52415555  0.               0.07516809  0.00372903 -0.00684726  0.        
v_3_=_54.9092/cm   1.01336926  0.58859156 -0.52415555  0.               0.02822119  0.00147133 -0.00270648  0.        
v_4_=_91.9286/cm   1.01336926  0.58859156 -0.52415555  0.               0.04956971  0.00285906 -0.00529227  0.        
v_5_=_179.9603/cm   1.01336926  0.58859156 -0.52415555  0.               0.04815836  0.00256297 -0.00473895  0.        
v_6_=_245.1754/cm   1.01336926  0.58859156 -0.52415555  0.               0.0071855   0.00046623 -0.00086621  0.        
v_7_=_289.3892/cm   1.01336926  0.58859156 -0.52415555  0.               0.04054294  0.00372455 -0.00701862  0.        
v_8_=_298.6721/cm   1.01336926  0.58859156 -0.52415555  0.               0.04265364  0.00451312 -0.00855219  0.        
v_9_=_317.1495/cm   1.01336926  0.58859156 -0.52415555  0.               0.03334348  0.00442085 -0.00842061  0.        
v_10_=_358.5207/cm   1.01336926  0.58859156 -0.52415555  0.               1.03657065e-03  8.34869743e-05 -1.56770678e-04  0.00000000e+00
v_11_=_416.0615/cm   1.01336926  0.58859156 -0.52415555  0.               4.24940709e-04  4.61384909e-05 -8.73853627e-05  0.00000000e+00
v_12_=_458.2468/cm   1.01336926  0.58859156 -0.52415555  0.               0.08679385  0.01207335 -0.02301696  0.        
v_13_=_519.3121/cm   1.01336926  0.58859156 -0.52415555  0.               0.0171617   0.00116369 -0.00217945  0.        
v_14_=_597.9584/cm   1.01336926  0.58859156 -0.52415555  0.               0.03064221  0.00233618 -0.00436903  0.        
v_15_=_627.0428/cm   1.01336926  0.58859156 -0.52415555  0.               0.03476764  0.00304525 -0.00575971  0.        
v_16_=_634.8215/cm   1.01336926  0.58859156 -0.52415555  0.               0.08222086  0.00401695 -0.00737428  0.        
v_17_=_644.0624/cm   1.01336926  0.58859156 -0.52415555  0.               0.04258106  0.00463697 -0.00881398  0.        
v_18_=_711.3407/cm   1.01336926  0.58859156 -0.52415555  0.               0.00196462  0.00025245 -0.00048006  0.        
v_19_=_755.2786/cm   1.01336926  0.58859156 -0.52415555  0.               0.16792836  0.02907524 -0.05565947  0.        
v_20_=_771.8421/cm   1.01336926  0.58859156 -0.52415555  0.               0.03596451  0.00602233 -0.01152422  0.        
v_21_=_804.1376/cm   1.01336926  0.58859156 -0.52415555  0.               0.08793191  0.01227078 -0.02341337  0.        
v_22_=_834.6371/cm   1.01336926  0.58859156 -0.52415555  0.               0.14683391  0.02281175 -0.04356218  0.        
v_23_=_859.3486/cm   1.01336926  0.58859156 -0.52415555  0.               0.01399815  0.00073094 -0.00134736  0.        
v_24_=_864.7519/cm   1.01336926  0.58859156 -0.52415555  0.               0.04998114  0.00788533 -0.0150793   0.        
v_25_=_926.4249/cm   1.01336926  0.58859156 -0.52415555  0.               0.07057538  0.00423096 -0.00784341  0.        
v_26_=_971.2632/cm   1.01336926  0.58859156 -0.52415555  0.               0.0361556   0.00454937 -0.00864513  0.        
v_27_=_979.7681/cm   1.01336926  0.58859156 -0.52415555  0.               7.67790242e-04  8.69617633e-05 -1.65176147e-04  0.00000000e+00
v_28_=_1001.1721/cm   1.01336926  0.58859156 -0.52415555  0.               0.00251435  0.00023011 -0.00043392  0.        
v_29_=_1016.2137/cm   1.01336926  0.58859156 -0.52415555  0.               0.82961057  0.14085377 -0.26941274  0.        
v_30_=_1033.0237/cm   1.01336926  0.58859156 -0.52415555  0.               0.54701565  0.05741122 -0.10867101  0.        
v_31_=_1054.6929/cm   1.01336926  0.58859156 -0.52415555  0.               0.42773567  0.07392226 -0.14142674  0.        
v_32_=_1106.2333/cm   1.01336926  0.58859156 -0.52415555  0.               0.08041     0.00873255 -0.01654862  0.        
v_33_=_1110.4639/cm   1.01336926  0.58859156 -0.52415555  0.               0.03201608  0.00155812 -0.00286506  0.        
v_34_=_1159.3392/cm   1.01336926  0.58859156 -0.52415555  0.               0.0371537   0.00369729 -0.00698873  0.        
v_35_=_1177.8881/cm   1.01336926  0.58859156 -0.52415555  0.               0.07167792  0.00563609 -0.01057638  0.        
v_36_=_1190.6930/cm   1.01336926  0.58859156 -0.52415555  0.               0.09135818  0.00449429 -0.00825137  0.        
v_37_=_1212.5763/cm   1.01336926  0.58859156 -0.52415555  0.               0.07016977  0.00367952 -0.00677247  0.        
v_38_=_1228.4588/cm   1.01336926  0.58859156 -0.52415555  0.               0.55324706  0.08969504 -0.17139305  0.        
v_39_=_1238.9638/cm   1.01336926  0.58859156 -0.52415555  0.               0.40576887  0.05080353 -0.09653239  0.        
v_40_=_1318.5650/cm   1.01336926  0.58859156 -0.52415555  0.               0.07334338  0.00415305 -0.00769221  0.        
v_41_=_1340.0531/cm   1.01336926  0.58859156 -0.52415555  0.               0.31549202  0.03516543 -0.06667616  0.        
v_42_=_1359.2679/cm   1.01336926  0.58859156 -0.52415555  0.               0.03412723  0.00354358 -0.00670207  0.        
v_43_=_1368.3743/cm   1.01336926  0.58859156 -0.52415555  0.               0.0851833   0.00517413 -0.00958742  0.        
v_44_=_1382.1569/cm   1.01336926  0.58859156 -0.52415555  0.               0.3595404   0.02894127 -0.05429369  0.        
v_45_=_1460.9495/cm   1.01336926  0.58859156 -0.52415555  0.               0.05188966  0.00400999 -0.00752308  0.        
v_46_=_1494.5467/cm   1.01336926  0.58859156 -0.52415555  0.               0.03539294  0.00183662 -0.00339031  0.        
v_47_=_1505.4504/cm   1.01336926  0.58859156 -0.52415555  0.               0.18105697  0.01089221 -0.02020435  0.        
v_48_=_1539.3000/cm   1.01336926  0.58859156 -0.52415555  0.               0.01091803  0.00070468 -0.00131091  0.        
v_49_=_1634.6360/cm   1.01336926  0.58859156 -0.52415555  0.               0.20533308  0.01005666 -0.01846555  0.        
v_50_=_1656.0523/cm   1.01336926  0.58859156 -0.52415555  0.               1.04789862  0.06839898 -0.12748656  0.        
v_51_=_1680.7437/cm   1.01336926  0.58859156 -0.52415555  0.               0.05731204  0.00306117 -0.00564632  0.        
v_52_=_1815.5212/cm   1.01336926  0.58859156 -0.52415555  0.               0.13463016  0.01659691 -0.03158482  0.        
v_53_=_3040.0581/cm   1.01336926  0.58859156 -0.52415555  0.               2.55364075  0.40087131 -0.76595541  0.        
v_54_=_3083.8355/cm   1.01336926  0.58859156 -0.52415555  0.               1.6310457   0.11922359 -0.22429111  0.        
v_55_=_3103.7065/cm   1.01336926  0.58859156 -0.52415555  0.               0.39169066  0.05736741 -0.10939949  0.        
v_56_=_3166.6573/cm   1.01336926  0.58859156 -0.52415555  0.               1.1454382   0.09036801 -0.16926739  0.        
v_57_=_3176.1083/cm   1.01336926  0.58859156 -0.52415555  0.               1.24353073  0.06067425 -0.11117741  0.        
v_58_=_3185.6408/cm   1.01336926  0.58859156 -0.52415555  0.               2.62934371  0.19178234 -0.35893776  0.        
v_59_=_3194.1441/cm   1.01336926  0.58859156 -0.52415555  0.               0.83095568  0.04057717 -0.07435221  0.        
v_60_=_3205.5084/cm   1.01336926  0.58859156 -0.52415555  0.               6.88053664  1.02822858 -1.96204778  0.        
v_61_=_3480.0034/cm   1.01336926  0.58859156 -0.52415555  0.               2.53438396  0.40006209 -0.76462753  0.        
v_62_=_3571.6208/cm   1.01336926  0.58859156 -0.52415555  0.               1.09863677  0.05998609 -0.11089698  0.        
v_63_=_3666.4515/cm   1.01336926  0.58859156 -0.52415555  0.               2.7028131   0.32863509 -0.62478267  0.        

# State.Header   Initial.State.S0  Initial.State.S1  Initial.State.S2  Initial.State.S3     Final.State.S0  Final.State.S1  Final.State.S2  Final.State.S3
v_1_=_33.9110/cm   1.05056096  0.03012559 -0.51589894  0.               0.06266573  0.00050352 -0.0054594   0.        
v_2_=_42.9975/cm   1.05056096  0.03012559 -0.51589894  0.               0.07789093  0.00058875 -0.00688911  0.        
v_3_=_54.9092/cm   1.05056096  0.03012559 -0.51589894  0.               0.02923979  0.00017103 -0.0027172   0.        
v_4_=_91.9286/cm   1.05056096  0.03012559 -0.51589894  0.               5.13497899e-02  8.44576671e-05 -5.30202369e-03  0.00000000e+00
v_5_=_179.9603/cm   1.05056096  0.03012559 -0.51589894  0.               0.04989749  0.00023484 -0.00476016  0.        
v_6_=_245.1754/cm   1.05056096  0.03012559 -0.51589894  0.               7.44204990e-03 -2.77705255e-05 -8.66100746e-04  0.00000000e+00
v_7_=_289.3892/cm   1.05056096  0.03012559 -0.51589894  0.               0.04196609 -0.00100002 -0.00696435  0.        
v_8_=_298.6721/cm   1.05056096  0.03012559 -0.51589894  0.               0.04413616 -0.00151759 -0.00846923  0.        
v_9_=_317.1495/cm   1.05056096  0.03012559 -0.51589894  0.               0.03448203 -0.00187742 -0.0083163   0.        
v_10_=_358.5207/cm   1.05056096  0.03012559 -0.51589894  0.               1.07319474e-03 -1.66950261e-05 -1.56050728e-04  0.00000000e+00
v_11_=_416.0615/cm   1.05056096  0.03012559 -0.51589894  0.               4.39687616e-04 -1.59672750e-05 -8.64909193e-05  0.00000000e+00
v_12_=_458.2468/cm   1.05056096  0.03012559 -0.51589894  0.               0.08974543 -0.00532304 -0.02271891  0.        
v_13_=_519.3121/cm   1.05056096  0.03012559 -0.51589894  0.               0.01777395 -0.00011169 -0.00217698  0.        
v_14_=_597.9584/cm   1.05056096  0.03012559 -0.51589894  0.               0.03172881 -0.0003882  -0.00435362  0.        
v_15_=_627.0428/cm   1.05056096  0.03012559 -0.51589894  0.               0.03599619 -0.00076622 -0.00572495  0.        
v_16_=_634.8215/cm   1.05056096  0.03012559 -0.51589894  0.               0.08518601  0.00071014 -0.00741593  0.        
v_17_=_644.0624/cm   1.05056096  0.03012559 -0.51589894  0.               0.04406667 -0.00163284 -0.00872478  0.        
v_18_=_711.3407/cm   1.05056096  0.03012559 -0.51589894  0.               0.00203205 -0.00010433 -0.00047428  0.        
v_19_=_755.2786/cm   1.05056096  0.03012559 -0.51589894  0.               0.17351551 -0.01473712 -0.05483     0.        
v_20_=_771.8421/cm   1.05056096  0.03012559 -0.51589894  0.               0.03716594 -0.0029987  -0.01135566  0.        
v_21_=_804.1376/cm   1.05056096  0.03012559 -0.51589894  0.               0.0909345  -0.00544045 -0.02310776  0.        
v_22_=_834.6371/cm   1.05056096  0.03012559 -0.51589894  0.               0.15177773 -0.01085229 -0.04295446  0.        
v_23_=_859.3486/cm   1.05056096  0.03012559 -0.51589894  0.               1.45034730e-02  8.08545486e-05 -1.35414096e-03  0.00000000e+00
