"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 1061.76 0.00217875845667866 0 45
"Mit Mikroskop" 1066.38 0.00219132446166025 0 45
"Mit Mikroskop" 1071 0.00212449126578273 0 45
"Mit Mikroskop" 1075.62 0.00209314653039726 0 45
"Mit Mikroskop" 1080.24 0.00209704235416933 0 45
"Mit Mikroskop" 1084.85 0.00214991991952256 0 45
"Mit Mikroskop" 1089.46 0.00215184895584072 0 45
"Mit Mikroskop" 1094.07 0.00211543074843626 0 45
"Mit Mikroskop" 1098.68 0.00210699584200762 0 45
"Mit Mikroskop" 1103.28 0.00210381172726619 0 45
"Mit Mikroskop" 1107.88 0.00218715728506098 0 45
"Mit Mikroskop" 1112.48 0.00223903890313322 0 45
"Mit Mikroskop" 1117.08 0.00223555566407224 0 45
"Mit Mikroskop" 1121.67 0.00217876091078486 0 45
"Mit Mikroskop" 1126.26 0.00218565652778429 0 45
"Mit Mikroskop" 1130.85 0.00214121038380289 0 45
"Mit Mikroskop" 1135.44 0.00213109396410263 0 45
"Mit Mikroskop" 1140.02 0.00209549884428226 0 45
"Mit Mikroskop" 1144.6 0.00206346309169215 0 45
"Mit Mikroskop" 1149.18 0.00212476475193987 0 45
"Mit Mikroskop" 1153.76 0.00234124068907157 0 45
"Mit Mikroskop" 1158.33 0.00215700345980542 0 45
"Mit Mikroskop" 1162.91 0.00216878684170369 0 45
"Mit Mikroskop" 1167.48 0.00215366594968613 0 45
"Mit Mikroskop" 1172.04 0.00207330942086795 0 45
"Mit Mikroskop" 1176.61 0.00208353763301691 0 45
"Mit Mikroskop" 1181.17 0.00207872386873636 0 45
"Mit Mikroskop" 1185.73 0.00215206185276677 0 45
"Mit Mikroskop" 1190.29 0.0022051089166282 0 45
"Mit Mikroskop" 1194.84 0.00225626234217758 0 45
"Mit Mikroskop" 1199.39 0.00220973591184427 0 45
"Mit Mikroskop" 1203.94 0.0022243872076161 0 45
"Mit Mikroskop" 1208.49 0.0022669141719365 0 45
"Mit Mikroskop" 1213.04 0.00216163436518921 0 45
"Mit Mikroskop" 1217.58 0.00216319481541052 0 45
"Mit Mikroskop" 1222.12 0.00217121803939633 0 45
"Mit Mikroskop" 1226.66 0.00216291445668236 0 45
"Mit Mikroskop" 1231.19 0.00222290498479024 0 45
"Mit Mikroskop" 1235.73 0.00223559028891581 0 45
"Mit Mikroskop" 1240.26 0.00222234697680272 0 45
"Mit Mikroskop" 1244.79 0.00224627729442607 0 45
"Mit Mikroskop" 1249.31 0.00229103666043893 0 45
"Mit Mikroskop" 1253.84 0.00235157309798587 0 45
"Mit Mikroskop" 1258.36 0.0023076640667218 0 45
"Mit Mikroskop" 1262.88 0.0022159902553937 0 45
"Mit Mikroskop" 1267.39 0.00221248145899095 0 45
"Mit Mikroskop" 1271.91 0.00224398757581145 0 45
"Mit Mikroskop" 1276.42 0.00223248645058943 0 45
"Mit Mikroskop" 1280.93 0.0022352931829873 0 45
"Mit Mikroskop" 1285.43 0.00228547175825745 0 45
"Mit Mikroskop" 1289.94 0.00219660788021656 0 45
"Mit Mikroskop" 1294.44 0.00223716967501458 0 45
"Mit Mikroskop" 1298.94 0.00232149214869641 0 45
"Mit Mikroskop" 1303.44 0.00232399113816488 0 45
"Mit Mikroskop" 1307.93 0.00224680293921709 0 45
"Mit Mikroskop" 1312.43 0.00221983752731888 0 45
"Mit Mikroskop" 1316.92 0.00223031315023661 0 45
"Mit Mikroskop" 1321.4 0.00219414722741433 0 45
"Mit Mikroskop" 1325.89 0.00215039302431238 0 45
"Mit Mikroskop" 1330.37 0.00218407866258753 0 45
"Mit Mikroskop" 1334.85 0.00230236685386666 0 45
"Mit Mikroskop" 1339.33 0.00228634486541517 0 45
"Mit Mikroskop" 1343.81 0.00221516755836203 0 45
"Mit Mikroskop" 1348.28 0.00219177011807755 0 45
"Mit Mikroskop" 1352.75 0.00222796847637188 0 45
"Mit Mikroskop" 1357.22 0.00227923086957388 0 45
"Mit Mikroskop" 1361.69 0.00233025606325795 0 45
"Mit Mikroskop" 1366.15 0.00235679212570019 0 45
"Mit Mikroskop" 1370.61 0.0023408367079327 0 45
"Mit Mikroskop" 1375.07 0.00232646084610097 0 45
"Mit Mikroskop" 1379.53 0.00230762870604252 0 45
"Mit Mikroskop" 1383.98 0.00228133280034985 0 45
"Mit Mikroskop" 1388.44 0.00218614531215245 0 45
"Mit Mikroskop" 1392.89 0.00220808862078773 0 45
"Mit Mikroskop" 1397.33 0.00228815230761409 0 45
"Mit Mikroskop" 1401.78 0.00225614795518894 0 45
"Mit Mikroskop" 1406.22 0.00227630183368777 0 45
"Mit Mikroskop" 1410.66 0.00227115998562922 0 45
"Mit Mikroskop" 1415.1 0.0022985587338061 0 45
"Mit Mikroskop" 1419.54 0.00228594208601322 0 45
"Mit Mikroskop" 1423.97 0.00229695037479048 0 45
"Mit Mikroskop" 1428.4 0.00229615369003167 0 45
"Mit Mikroskop" 1432.83 0.00225578291407713 0 45
"Mit Mikroskop" 1437.26 0.00220389237087364 0 45
"Mit Mikroskop" 1441.68 0.00224562966479511 0 45
"Mit Mikroskop" 1446.1 0.00233230855514477 0 45
"Mit Mikroskop" 1450.52 0.00239093398705499 0 45
"Mit Mikroskop" 1454.94 0.00241740720009056 0 45
"Mit Mikroskop" 1459.36 0.00238302569263243 0 45
"Mit Mikroskop" 1463.77 0.00232283893558794 0 45
"Mit Mikroskop" 1468.18 0.00227731509045377 0 45
"Mit Mikroskop" 1472.59 0.00237418542848022 0 45
"Mit Mikroskop" 1476.99 0.00229006391885359 0 45
"Mit Mikroskop" 1481.4 0.00227632552120484 0 45
"Mit Mikroskop" 1485.8 0.00226406608001876 0 45
"Mit Mikroskop" 1490.2 0.00231876025118775 0 45
"Mit Mikroskop" 1494.59 0.00235475545960027 0 45
"Mit Mikroskop" 1498.99 0.00230413457930811 0 45
"Mit Mikroskop" 1503.38 0.00218446811011736 0 45
"Mit Mikroskop" 1507.77 0.00222615724465267 0 45
"Mit Mikroskop" 1512.16 0.00229015729683892 0 45
"Mit Mikroskop" 1516.54 0.00224850903662589 0 45
"Mit Mikroskop" 1520.92 0.00222526150953365 0 45
"Mit Mikroskop" 1525.3 0.0022985889957197 0 45
"Mit Mikroskop" 1529.68 0.00230183452193366 0 45
"Mit Mikroskop" 1534.06 0.00226469665537391 0 45
"Mit Mikroskop" 1538.43 0.00230550881647561 0 45
"Mit Mikroskop" 1542.8 0.00231149001171065 0 45
"Mit Mikroskop" 1547.17 0.00230908699583169 0 45
"Mit Mikroskop" 1551.54 0.00226944297062491 0 45
"Mit Mikroskop" 1555.9 0.00232083569061872 0 45
"Mit Mikroskop" 1560.27 0.00231567343022899 0 45
"Mit Mikroskop" 1564.63 0.00225572615786457 0 45
"Mit Mikroskop" 1568.98 0.00229997547535657 0 45
"Mit Mikroskop" 1573.34 0.00233719363253236 0 45
"Mit Mikroskop" 1577.69 0.00229797440415502 0 45
"Mit Mikroskop" 1582.04 0.00222359316585183 0 45
"Mit Mikroskop" 1586.39 0.00215360539105597 0 45
"Mit Mikroskop" 1590.74 0.00214477957409937 0 45
"Mit Mikroskop" 1595.08 0.00223585229044071 0 45
"Mit Mikroskop" 1599.42 0.00225381787972679 0 45
"Mit Mikroskop" 1603.76 0.0023052872916402 0 45
"Mit Mikroskop" 1608.1 0.00234980043416566 0 45
"Mit Mikroskop" 1612.43 0.00236466411148759 0 45
"Mit Mikroskop" 1616.77 0.00232206315551257 0 45
"Mit Mikroskop" 1621.1 0.00228898058008307 0 45
"Mit Mikroskop" 1625.42 0.00225339530902079 0 45
"Mit Mikroskop" 1629.75 0.00223783836380794 0 45
"Mit Mikroskop" 1634.07 0.00225278366704804 0 45
"Mit Mikroskop" 1638.4 0.00218580923867092 0 45
"Mit Mikroskop" 1642.71 0.00209538744876332 0 45
"Mit Mikroskop" 1647.03 0.00216698785012199 0 45
"Mit Mikroskop" 1651.35 0.00227105167626421 0 45
"Mit Mikroskop" 1655.66 0.00233672572421193 0 45
"Mit Mikroskop" 1659.97 0.00229897592117047 0 45
"Mit Mikroskop" 1664.28 0.00219104581403688 0 45
"Mit Mikroskop" 1668.58 0.00216938191055297 0 45
"Mit Mikroskop" 1672.89 0.00219833641362832 0 45
"Mit Mikroskop" 1677.19 0.00228151006429094 0 45
"Mit Mikroskop" 1681.49 0.00229458823034652 0 45
"Mit Mikroskop" 1685.78 0.00232050302664245 0 45
"Mit Mikroskop" 1690.08 0.00228329426331123 0 45
"Mit Mikroskop" 1694.37 0.00230398458527274 0 45
"Mit Mikroskop" 1698.66 0.00229130118237269 0 45
"Mit Mikroskop" 1702.95 0.00219689937313333 0 45
"Mit Mikroskop" 1707.23 0.00213219604624135 0 45
"Mit Mikroskop" 1711.52 0.00216568215695954 0 45
"Mit Mikroskop" 1715.8 0.0022002998644592 0 45
"Mit Mikroskop" 1720.08 0.00221324005288817 0 45
"Mit Mikroskop" 1724.35 0.00215790874980805 0 45
"Mit Mikroskop" 1728.63 0.00217718357501208 0 45
"Mit Mikroskop" 1732.9 0.0023284635019823 0 45
"Mit Mikroskop" 1737.17 0.00235350586000189 0 45
"Mit Mikroskop" 1741.44 0.00227072438810679 0 45
"Mit Mikroskop" 1745.7 0.0022070580048273 0 45
"Mit Mikroskop" 1749.97 0.00217607715694632 0 45
"Mit Mikroskop" 1754.23 0.00213155150834434 0 45
"Mit Mikroskop" 1758.49 0.00220393111412467 0 45
"Mit Mikroskop" 1762.74 0.00224503343927285 0 45
"Mit Mikroskop" 1767 0.00222532046596077 0 45
"Mit Mikroskop" 1771.25 0.00221802270649517 0 45
"Mit Mikroskop" 1775.5 0.00220706145926465 0 45
"Mit Mikroskop" 1779.75 0.00216789513829073 0 45
"Mit Mikroskop" 1783.99 0.00213993712883383 0 45
"Mit Mikroskop" 1788.24 0.00215733670201151 0 45
"Mit Mikroskop" 1792.48 0.00224545067662663 0 45
"Mit Mikroskop" 1796.72 0.0022345226999519 0 45
"Mit Mikroskop" 1800.95 0.0021604302219249 0 45
"Mit Mikroskop" 1805.19 0.00215696741599808 0 45
