"wavenumber" "waveplate" "signal"
437.115 "30" 0.0181024590508162
437.115 "40" 0.0183331643613016
437.115 "50" 0.0145797823575494
437.115 "60" 0.0128006756830906
437.115 "70" 0.0153822683785671
437.115 "80" 0.0124888140826233
437.115 "90" 0.0200447195668249
442.077 "0" 0.00748446109660034
442.077 "10" 0.0130664386456261
442.077 "20" 0.0108217315710815
442.077 "30" 0.00807097849430817
442.077 "40" 0.00854919625801076
442.077 "50" 0.00642277830463692
442.077 "60" 0.00809291464309807
442.077 "70" 0.0103068318243872
442.077 "80" 0.00999050696981164
442.077 "90" 0.0167364220936975
447.037 "0" 0.000872843310499179
447.037 "10" 0.00672877667887386
447.037 "20" 0.00828617362127521
447.037 "30" 0.00018591262825723
447.037 "40" 0.00137151191069935
447.037 "50" -0.0029634783254285
447.037 "60" 0.000466049776941682
447.037 "70" -0.00395887230024858
447.037 "80" 0.000299234144542161
447.037 "90" -0.00134967896860964
451.993 "0" 0.00489693077969471
451.993 "10" -0.000447736525846425
451.993 "20" 0.000286618722104358
451.993 "30" -0.00433589661093174
451.993 "40" 0.00353430446767336
451.993 "50" 0.000537460718974583
451.993 "60" -0.000774716301823164
451.993 "70" 0.00449054199660911
451.993 "80" 0.00794675185041776
451.993 "90" 0.00424751280490004
456.947 "0" 0.00667613785433475
456.947 "10" 0.00549980681878158
456.947 "20" 0.00404742936305987
456.947 "30" 0.0104186537059902
456.947 "40" 0.0145869405002262
456.947 "50" 0.0156124557693131
456.947 "60" 0.0111429500514751
456.947 "70" 0.0179685784769482
456.947 "80" 0.0155721293764793
456.947 "90" 0.0144172847712662
461.898 "0" 0.00890450205044245
461.898 "10" 0.00891362330724333
461.898 "20" 0.0166577003590286
461.898 "30" 0.0142781138066471
461.898 "40" 0.0159003565950206
461.898 "50" 0.0199698560769578
461.898 "60" 0.0158432703549625
461.898 "70" 0.017584434602916
461.898 "80" 0.0163579822147502
461.898 "90" 0.0132926571435352
466.847 "0" 0.0213689695283785
466.847 "10" 0.0212846947379289
466.847 "20" 0.0255340643507853
466.847 "30" 0.0240547607672312
466.847 "40" 0.0287193026272644
466.847 "50" 0.0218048446089413
466.847 "60" 0.0205961629310459
466.847 "70" 0.0223006365042738
466.847 "80" 0.0204241866940587
466.847 "90" 0.0238846937544491
471.793 "0" 0.0152353197641611
471.793 "10" 0.0243354536138581
471.793 "20" 0.0251578054968678
471.793 "30" 0.024193210680782
471.793 "40" 0.025860380899719
471.793 "50" 0.0219340204828233
471.793 "60" 0.0198308340232469
471.793 "70" 0.0228234890048639
471.793 "80" 0.0220823318941678
471.793 "90" 0.0217672374457345
476.736 "0" 0.0166047970303921
476.736 "10" 0.0235529301908854
476.736 "20" 0.0306534412418447
476.736 "30" 0.0272565519821073
476.736 "40" 0.0272349185257992
476.736 "50" 0.0237726144986489
476.736 "60" 0.0288284436071995
476.736 "70" 0.0279626120408603
476.736 "80" 0.0321883506476305
476.736 "90" 0.0302359449345713
481.676 "0" 0.0370271520277543
481.676 "10" 0.0435588909203888
