"wavenumber" "waveplate" "signal"
347.326 "80" 0.0433341838839115
347.326 "90" 0.0432125037525875
352.337 "0" 0.0446115212997231
352.337 "10" 0.0441829782345026
352.337 "20" 0.0442292409791104
352.337 "30" 0.0427831578432938
352.337 "40" 0.0426058311828941
352.337 "50" 0.0424704428474251
352.337 "60" 0.0423816318865912
352.337 "70" 0.042543212928053
352.337 "80" 0.0425801436986704
352.337 "90" 0.0426209877431413
357.346 "0" 0.0435472859199383
357.346 "10" 0.0432926112384422
357.346 "20" 0.0432365923640511
357.346 "30" 0.0420594793576917
357.346 "40" 0.0419003019148891
357.346 "50" 0.041711586419755
357.346 "60" 0.0417450575315356
357.346 "70" 0.0419461577983719
357.346 "80" 0.0420251012798624
357.346 "90" 0.0420438488589246
362.353 "0" 0.0420475126753026
362.353 "10" 0.0417552442252446
362.353 "20" 0.0418885634638843
362.353 "30" 0.0408484470007988
362.353 "40" 0.0407258472760401
362.353 "50" 0.0406509625237716
362.353 "60" 0.0404974606716273
362.353 "70" 0.0408270932854391
362.353 "80" 0.0405213235637897
362.353 "90" 0.0406318097738748
367.356 "0" 0.0413083055528692
367.356 "10" 0.0409410530721805
367.356 "20" 0.04100967680978
367.356 "30" 0.0398894942325046
367.356 "40" 0.0397119835176171
367.356 "50" 0.0396025424592274
367.356 "60" 0.0394242829631042
367.356 "70" 0.0396991998611617
367.356 "80" 0.0396145391470162
367.356 "90" 0.0395668755693682
372.357 "0" 0.0414476033774483
372.357 "10" 0.0409450102588297
372.357 "20" 0.0409744408041744
372.357 "30" 0.0400071313738507
372.357 "40" 0.0398800686391297
372.357 "50" 0.0398499474056754
372.357 "60" 0.0400553025681157
372.357 "70" 0.0403326742501394
372.357 "80" 0.0402330457183623
372.357 "90" 0.0402703277681021
377.355 "0" 0.0435797887456734
377.355 "10" 0.0431452060357611
377.355 "20" 0.0431409517774074
377.355 "30" 0.0422779483344772
377.355 "40" 0.0421893654996559
377.355 "50" 0.0421176411749118
377.355 "60" 0.0420727877841384
377.355 "70" 0.0421867456325133
377.355 "80" 0.0421401972853129
377.355 "90" 0.0420664414842854
382.35 "0" 0.0442725632599138
382.35 "10" 0.0439821510120579
382.35 "20" 0.044020845174529
382.35 "30" 0.042901845316259
382.35 "40" 0.042675420564412
382.35 "50" 0.0424848655573077
382.35 "60" 0.0423405267362647
382.35 "70" 0.0426215695162367
382.35 "80" 0.042572614053454
382.35 "90" 0.0424987821786897
387.342 "0" 0.0433764139217878
387.342 "10" 0.0429077748368117
387.342 "20" 0.0429154413415319
387.342 "30" 0.0417653865043266
387.342 "40" 0.0414345883616536
387.342 "50" 0.041246731385846
