"exp" "wavenumber" "signal" "P" "color"
"Mit Mikroskop" 1181.17 -0.0466360856269113 0 45
"Mit Mikroskop" 1185.73 -0.0331362484568904 0 45
"Mit Mikroskop" 1190.29 -0.0173594367827178 0 45
"Mit Mikroskop" 1194.84 0.00445370073694318 0 45
"Mit Mikroskop" 1199.39 -0.00330353672755546 0 45
"Mit Mikroskop" 1203.94 -0.013157894736842 0 45
"Mit Mikroskop" 1208.49 -0.0155808684316706 0 45
"Mit Mikroskop" 1213.04 -0.0496582857859427 0 45
"Mit Mikroskop" 1217.58 -0.0262913504339194 0 45
"Mit Mikroskop" 1222.12 -0.00591446769790727 0 45
"Mit Mikroskop" 1226.66 -0.00782848789995128 0 45
"Mit Mikroskop" 1231.19 0.00398864035227664 0 45
"Mit Mikroskop" 1235.73 -0.00110229276895946 0 45
"Mit Mikroskop" 1240.26 -0.0102724710303789 0 45
"Mit Mikroskop" 1244.79 -0.0036411166090935 0 45
"Mit Mikroskop" 1249.31 0.00334150827713042 0 45
"Mit Mikroskop" 1253.84 0.0283410701197166 0 45
"Mit Mikroskop" 1258.36 0.0194847169637087 0 45
"Mit Mikroskop" 1262.88 -0.0174454444581431 0 45
"Mit Mikroskop" 1267.39 -0.0353200883002207 0 45
"Mit Mikroskop" 1271.91 -0.0433063897575078 0 45
"Mit Mikroskop" 1276.42 -0.0430279356060607 0 45
"Mit Mikroskop" 1280.93 -0.0142457930866898 0 45
"Mit Mikroskop" 1285.43 0.0137470661749017 0 45
"Mit Mikroskop" 1289.94 -0.042440001195493 0 45
"Mit Mikroskop" 1294.44 -0.0453868830448615 0 45
"Mit Mikroskop" 1298.94 -0.0121961843366146 0 45
"Mit Mikroskop" 1303.44 0.0202666347820888 0 45
"Mit Mikroskop" 1307.93 0.0168793235972327 0 45
"Mit Mikroskop" 1312.43 0.00521760481247302 0 45
"Mit Mikroskop" 1316.92 -0.00512789575289585 0 45
"Mit Mikroskop" 1321.4 -0.0261999580800671 0 45
"Mit Mikroskop" 1325.89 -0.067948418718637 0 45
"Mit Mikroskop" 1330.37 -0.0763944109962512 0 45
"Mit Mikroskop" 1334.85 -0.0102255379209033 0 45
"Mit Mikroskop" 1339.33 0.0151375738327744 0 45
"Mit Mikroskop" 1343.81 -0.017367377733069 0 45
"Mit Mikroskop" 1348.28 -0.0514098096252988 0 45
"Mit Mikroskop" 1352.75 -0.0416119266579082 0 45
"Mit Mikroskop" 1357.22 -0.0200222152601749 0 45
"Mit Mikroskop" 1361.69 -0.0110232245035341 0 45
"Mit Mikroskop" 1366.15 -0.0103555210986821 0 45
"Mit Mikroskop" 1370.61 0.00930417269452244 0 45
"Mit Mikroskop" 1375.07 0.0270058821824926 0 45
"Mit Mikroskop" 1379.53 0.0170000288625278 0 45
"Mit Mikroskop" 1383.98 0.018851406560056 0 45
"Mit Mikroskop" 1388.44 -0.0144305657604702 0 45
"Mit Mikroskop" 1392.89 -0.0360884749708965 0 45
"Mit Mikroskop" 1397.33 -0.0101625445664075 0 45
"Mit Mikroskop" 1401.78 -0.00957876186686391 0 45
"Mit Mikroskop" 1406.22 0.0102353851887955 0 45
"Mit Mikroskop" 1410.66 -0.00246298445771875 0 45
"Mit Mikroskop" 1415.1 0.0164372653850529 0 45
"Mit Mikroskop" 1419.54 0.0153324403659267 0 45
"Mit Mikroskop" 1423.97 0.021494661921708 0 45
"Mit Mikroskop" 1428.4 0.00748276441903495 0 45
"Mit Mikroskop" 1432.83 -0.0101233255963533 0 45
"Mit Mikroskop" 1437.26 -0.0327342747111681 0 45
"Mit Mikroskop" 1441.68 -0.036632828021664 0 45
"Mit Mikroskop" 1446.1 -0.0104205833378096 0 45
"Mit Mikroskop" 1450.52 0.0112995859489784 0 45
"Mit Mikroskop" 1454.94 0.0189370800244348 0 45
"Mit Mikroskop" 1459.36 0.0147239920758151 0 45
"Mit Mikroskop" 1463.77 0.00543035568829753 0 45
"Mit Mikroskop" 1468.18 -0.00928472241130496 0 45
"Mit Mikroskop" 1472.59 0.0321993864197867 0 45
"Mit Mikroskop" 1476.99 0.014127255670217 0 45
"Mit Mikroskop" 1481.4 0.0242524266413047 0 45
"Mit Mikroskop" 1485.8 0.000219220124407338 0 45
"Mit Mikroskop" 1490.2 0.019371514079717 0 45
"Mit Mikroskop" 1494.59 0.0374622520880377 0 45
"Mit Mikroskop" 1498.99 0.0149812734082397 0 45
"Mit Mikroskop" 1503.38 -0.0482376258838655 0 45
"Mit Mikroskop" 1507.77 -0.0357085923800414 0 45
"Mit Mikroskop" 1512.16 0.000989728225978981 0 45
"Mit Mikroskop" 1516.54 0.00425450677721106 0 45
"Mit Mikroskop" 1520.92 -0.00487698553251781 0 45
"Mit Mikroskop" 1525.3 0.00467637368476992 0 45
"Mit Mikroskop" 1529.68 0.00139852758793579 0 45
"Mit Mikroskop" 1534.06 -0.0251647693229478 0 45
"Mit Mikroskop" 1538.43 -0.0253739725328024 0 45
"Mit Mikroskop" 1542.8 -0.0218255991840897 0 45
"Mit Mikroskop" 1547.17 0.000599161174355878 0 45
"Mit Mikroskop" 1551.54 -0.000633931165640922 0 45
"Mit Mikroskop" 1555.9 0.00581003268143387 0 45
"Mit Mikroskop" 1560.27 0.00895040849248074 0 45
"Mit Mikroskop" 1564.63 0.00871279742079878 0 45
"Mit Mikroskop" 1568.98 0.0195013967216571 0 45
